Designatie;d;D;B;C [N];C0 [N];Cu [N];Limiting speed;Reference speed;e;Y1;Y2;Y0
21312-E1-XL;60;130;31;211;226;28000;6700;4100;0,23;2,95;4,4;2,89
21312-E1-XL-K;60;130;31;211;226;28000;6700;4100;0,23;2,95;4,4;2,89
22312-E1-XL;60;130;46;310;310;28000;5400;4200;0,35;1,91;2,85;1,87
22312-E1-XL-K;60;130;46;310;310;28000;5400;4200;0,35;1,91;2,85;1,87
22213-E1-XL;65;120;31;202;210;25500;7000;4200;0,24;2,81;4,19;2,75
22213-E1-XL-K;65;120;31;202;210;25500;7000;4200;0,24;2,81;4,19;2,75
21313-E1-XL;65;140;33;250;270;33500;6200;3600;0,22;3,14;4,67;3,07
21313-E1-XL-K;65;140;33;250;270;33500;6200;3600;0,22;3,14;4,67;3,07
22313-E1-XL;65;140;48;350;365;32500;5000;3800;0,34;2;2,98;1,96
22313-E1-XL-K;65;140;48;350;365;32500;5000;3800;0,34;2;2,98;1,96
22214-E1-XL;70;125;31;211;226;28000;6700;3950;0,23;2,95;4,4;2,89
22214-E1-XL-K;70;125;31;211;226;28000;6700;3950;0,23;2,95;4,4;2,89
21314-E1-XL;70;150;35;250;270;33500;6200;3950;0,22;3,14;4,67;3,07
21314-E1-XL-K;70;150;35;250;270;33500;6200;3950;0,22;3,14;4,67;3,07
22314-E1-XL;70;150;51;390;390;36500;4800;3700;0,34;2;2,98;1,96
22314-E1-XL-K;70;150;51;390;390;36500;4800;3700;0,34;2;2,98;1,96
22215-E1-XL;75;130;31;216;237;29500;6500;3700;0,22;3,1;4,62;3,03
22215-E1-XL-K;75;130;31;216;237;29500;6500;3700;0,22;3,1;4,62;3,03
21315-E1-XL;75;160;37;305;325;38000;5700;3750;0,22;3,04;4,53;2,97
21315-E1-XL-K;75;160;37;305;325;38000;5700;3750;0,22;3,04;4,53;2,97
22315-E1-XL;75;160;55;445;450;40500;4500;3550;0,34;1,99;2,96;1,94
22315-E1-XL-K;75;160;55;445;450;40500;4500;3550;0,34;1,99;2,96;1,94
22216-E1-XL;80;140;33;250;270;33500;6200;3550;0,22;3,14;4,67;3,07
22216-E1-XL-K;80;140;33;250;270;33500;6200;3550;0,22;3,14;4,67;3,07
21316-E1-XL;80;170;39;305;325;38000;5700;4050;0,22;3,04;4,53;2,97
21316-E1-XL-K;80;170;39;305;325;38000;5700;4050;0,22;3,04;4,53;2,97
22316-E1-XL;80;170;58;495;510;45000;4250;3400;0,34;1,99;2,96;1,94
22316-E1-XL-K;80;170;58;495;510;45000;4250;3400;0,34;1,99;2,96;1,94
22217-E1-XL;85;150;36;305;325;38000;5700;3450;0,22;3,04;4,53;2,97
22217-E1-XL-K;85;150;36;305;325;38000;5700;3450;0,22;3,04;4,53;2,97
21317-E1-XL;85;180;41;345;375;42500;5200;3800;0,23;2,9;4,31;2,83
21317-E1-XL-K;85;180;41;345;375;42500;5200;3800;0,23;2,9;4,31;2,83
22317-E1-XL;85;180;60;540;560;49500;4100;3200;0,33;2,04;3,04;2
22317-E1-XL-K;85;180;60;540;560;49500;4100;3200;0,33;2,04;3,04;2
22218-E1-XL;90;160;40;345;375;42500;5200;3400;0,23;2,9;4,31;2,83
22218-E1-XL-K;90;160;40;345;375;42500;5200;3400;0,23;2,9;4,31;2,83
23218-E1-XL-K-TVPB;90;160;52,4;445;520;48500;4250;2650;0,31;2,2;3,27;2,15
23218-E1-XL-TVPB;90;160;52,4;445;520;48500;4250;2650;0,31;2,2;3,27;2,15
23218-E1A-XL-K-M;90;160;52,4;445;520;48500;4250;2650;0,31;2,2;3,27;2,15
23218-E1A-XL-M;90;160;52,4;445;520;48500;4250;2650;0,31;2,2;3,27;2,15
21318-E1-XL;90;190;43;380;415;47000;4850;3600;0,24;2,87;4,27;2,8
21318-E1-XL-K;90;190;43;380;415;47000;4850;3600;0,24;2,87;4,27;2,8
22318-E1-XL;90;190;64;610;630;55000;3850;3000;0,33;2,03;3,02;1,98
22318-E1-XL-K;90;190;64;610;630;55000;3850;3000;0,33;2,03;3,02;1,98
22219-E1-XL;95;170;43;380;415;47000;4850;3300;0,24;2,87;4,27;2,8
22219-E1-XL-K;95;170;43;380;415;47000;4850;3300;0,24;2,87;4,27;2,8
21319-E1-XL-K-TVPB;95;200;45;425;450;47500;4600;3250;0,22;3,04;4,53;2,97
21319-E1-XL-TVPB;95;200;45;425;450;47500;4600;3250;0,22;3,04;4,53;2,97
22319-E1-XL;95;200;67;670;700;59000;3700;2800;0,33;2,03;3,02;1,98
22319-E1-XL-K;95;200;67;670;700;59000;3700;2800;0,33;2,03;3,02;1,98
23120-E1-XL-K-TVPB;100;165;52;450;570;52000;4000;2750;0,28;2,37;3,53;2,32
23120-E1-XL-TVPB;100;165;52;450;570;52000;4000;2750;0,28;2,37;3,53;2,32
23120-E1A-XL-K-M;100;165;52;450;570;52000;4000;2750;0,28;2,37;3,53;2,32
23120-E1A-XL-M;100;165;52;450;570;52000;4000;2750;0,28;2,37;3,53;2,32
22220-E1-XL;100;180;46;430;475;52000;4550;3150;0,24;2,84;4,23;2,78
22220-E1-XL-K;100;180;46;430;475;52000;4550;3150;0,24;2,84;4,23;2,78
23220-E1-XL-K-TVPB;100;180;60,3;560;660;60000;3750;2410;0,31;2,15;3,2;2,1
23220-E1-XL-TVPB;100;180;60,3;560;660;60000;3750;2410;0,31;2,15;3,2;2,1
23220-E1A-XL-K-M;100;180;60,3;560;660;60000;3750;2410;0,31;2,15;3,2;2,1
23220-E1A-XL-M;100;180;60,3;560;660;60000;3750;2410;0,31;2,15;3,2;2,1
21320-E1-XL-K-TVPB;100;215;47;495;530;60000;4400;3050;0,22;3,14;4,67;3,07
21320-E1-XL-TVPB;100;215;47;495;530;60000;4400;3050;0,22;3,14;4,67;3,07
22320-E1-XL;100;215;73;810;920;75000;3300;2380;0,33;2,03;3,02;1,98
22320-E1-XL-K;100;215;73;810;920;75000;3300;2380;0,33;2,03;3,02;1,98
23022-E1-XL-K-TVPB;110;170;45;400;530;53000;4200;3000;0,23;2,9;4,31;2,83
23022-E1-XL-TVPB;110;170;45;400;530;53000;4200;3000;0,23;2,9;4,31;2,83
23022-E1A-XL-K-M;110;170;45;400;530;53000;4200;3000;0,23;2,9;4,31;2,83
23022-E1A-XL-M;110;170;45;400;530;53000;4200;3000;0,23;2,9;4,31;2,83
23122-E1-XL-K-TVPB;110;180;56;530;680;60000;3700;2550;0,28;2,39;3,56;2,34
23122-E1-XL-TVPB;110;180;56;530;680;60000;3700;2550;0,28;2,39;3,56;2,34
23122-E1A-XL-K-M;110;180;56;530;680;60000;3700;2550;0,28;2,41;3,59;2,35
23122-E1A-XL-M;110;180;56;530;680;60000;3700;2550;0,28;2,41;3,59;2,35
24122-BE-XL;110;180;69;530;750;84000;3350;1960;0,34;1,96;2,92;1,92
24122-BE-XL-K30;110;180;69;530;750;84000;3350;1960;0,34;1,96;2,92;1,92
22222-E1-XL;110;200;53;550;600;62000;4100;3000;0,25;2,71;4,04;2,65
22222-E1-XL-K;110;200;53;550;600;62000;4100;3000;0,25;2,71;4,04;2,65
23222-E1-XL-K-TVPB;110;200;69,8;710;870;71000;3250;2100;0,33;2,06;3,06;2,01
